database	description	size	overlap	expect	enrichmentRatio	pValue	FDR
geneontology_Biological_Process	regulation of trans-synaptic signaling	417	31	3.96	7.83	0	0
geneontology_Biological_Process	modulation of chemical synaptic transmission	416	31	3.95	7.85	0	0
geneontology_Biological_Process	regulation of membrane potential	414	33	3.93	8.4	0	0
geneontology_Biological_Process	synapse organization	385	29	3.66	7.93	0	0
geneontology_Biological_Process	cognition	283	25	2.69	9.3	0	0
geneontology_Biological_Process	learning or memory	244	24	2.32	10.4	0	0
geneontology_Biological_Process	regulation of postsynaptic membrane potential	137	20	1.3	15.4	0	0
geneontology_Biological_Process	neurotransmitter transport	268	23	2.54	9.04	9.99e-16	2.58e-13
geneontology_Biological_Process	synaptic vesicle cycle	193	20	1.83	10.9	2.22e-15	5.43e-13
geneontology_Biological_Process	regulation of synaptic plasticity	174	19	1.65	11.5	4.44e-15	1.07e-12
geneontology_Biological_Process	protein localization to synapse	61	13	0.579	22.4	1.44e-14	3.3e-12
geneontology_Biological_Process	vesicle-mediated transport in synapse	203	19	1.93	9.86	7.53e-14	1.52e-11
geneontology_Biological_Process	learning	141	16	1.34	12	3.81e-13	6.89e-11
geneontology_Biological_Process	multicellular organismal signaling	170	17	1.61	10.5	5.55e-13	9.9e-11
geneontology_Biological_Process	regulation of neuron projection development	475	25	4.51	5.54	3.73e-12	6.18e-10
geneontology_Biological_Process	regulation of neurotransmitter levels	335	21	3.18	6.6	8.69e-12	1.33e-09
geneontology_Biological_Process	amino acid transport	131	14	1.24	11.3	2.7e-11	4e-09
geneontology_Biological_Process	memory	111	13	1.05	12.3	4.4e-11	6.06e-09
geneontology_Biological_Process	neurotransmitter secretion	165	15	1.57	9.57	5.36e-11	7.24e-09
geneontology_Biological_Process	signal release from synapse	165	15	1.57	9.57	5.36e-11	7.24e-09
geneontology_Biological_Process	regulation of synaptic vesicle cycle	113	13	1.07	12.1	5.53e-11	7.4e-09
geneontology_Biological_Process	transmission of nerve impulse	72	11	0.684	16.1	7.59e-11	9.88e-09
geneontology_Biological_Process	acidic amino acid transport	56	10	0.532	18.8	1.13e-10	1.38e-08
geneontology_Biological_Process	axon development	490	23	4.65	4.94	2.82e-10	3.26e-08
geneontology_Biological_Process	positive regulation of neurogenesis	447	22	4.24	5.18	2.91e-10	3.33e-08
geneontology_Biological_Process	positive regulation of synaptic transmission	160	14	1.52	9.22	4e-10	4.42e-08
geneontology_Biological_Process	synaptic vesicle localization	164	14	1.56	8.99	5.55e-10	5.9e-08
geneontology_Biological_Process	postsynaptic specialization organization	34	8	0.323	24.8	8.3e-10	8.56e-08
geneontology_Biological_Process	synaptic transmission, glutamatergic	90	11	0.855	12.9	9.02e-10	9.06e-08
geneontology_Biological_Process	glutamate receptor signaling pathway	90	11	0.855	12.9	9.02e-10	9.06e-08
geneontology_Biological_Process	adult behavior	141	13	1.34	9.71	9.04e-10	9.06e-08
geneontology_Biological_Process	postsynaptic specialization assembly	22	7	0.209	33.5	9.35e-10	9.24e-08
geneontology_Biological_Process	positive regulation of neuron differentiation	350	19	3.32	5.72	1.03e-09	1e-07
geneontology_Biological_Process	axonogenesis	449	21	4.26	4.93	1.9e-09	1.79e-07
geneontology_Biological_Process	positive regulation of neuron projection development	264	16	2.51	6.38	4.82e-09	4.42e-07
geneontology_Biological_Process	synapse assembly	164	13	1.56	8.35	5.79e-09	5.24e-07
geneontology_Biological_Process	locomotory behavior	197	14	1.87	7.48	6.08e-09	5.46e-07
geneontology_Biological_Process	regulation of synaptic vesicle transport	84	10	0.798	12.5	6.96e-09	6.18e-07
geneontology_Biological_Process	synaptic transmission, GABAergic	45	8	0.427	18.7	9.02e-09	7.8e-07
geneontology_Biological_Process	regulation of neurotransmitter transport	142	12	1.35	8.9	1.1e-08	9.44e-07
geneontology_Biological_Process	postsynaptic density assembly	18	6	0.171	35.1	1.14e-08	9.66e-07
geneontology_Biological_Process	regulation of vesicle-mediated transport	499	21	4.74	4.43	1.22e-08	1.03e-06
geneontology_Biological_Process	postsynaptic density organization	31	7	0.294	23.8	1.34e-08	1.11e-06
geneontology_Biological_Process	postsynapse assembly	31	7	0.294	23.8	1.34e-08	1.11e-06
geneontology_Biological_Process	signal release	456	20	4.33	4.62	1.4e-08	1.15e-06
geneontology_Biological_Process	localization within membrane	146	12	1.39	8.66	1.51e-08	1.24e-06
geneontology_Biological_Process	regulation of axonogenesis	180	13	1.71	7.61	1.78e-08	1.42e-06
geneontology_Biological_Process	regulation of neuronal synaptic plasticity	51	8	0.484	16.5	2.54e-08	1.93e-06
geneontology_Biological_Process	synaptic vesicle transport	153	12	1.45	8.26	2.56e-08	1.93e-06
geneontology_Biological_Process	establishment of synaptic vesicle localization	153	12	1.45	8.26	2.56e-08	1.93e-06
geneontology_Biological_Process	glutamate secretion	34	7	0.323	21.7	2.68e-08	2.01e-06
geneontology_Biological_Process	postsynapse organization	158	12	1.5	8	3.67e-08	2.66e-06
geneontology_Biological_Process	vesicle localization	305	16	2.9	5.53	3.69e-08	2.67e-06
geneontology_Biological_Process	regulation of ion transmembrane transport	441	19	4.19	4.54	4.37e-08	3.07e-06
geneontology_Biological_Process	regulation of calcium ion-dependent exocytosis	103	10	0.978	10.2	5.09e-08	3.56e-06
geneontology_Biological_Process	long-term synaptic potentiation	78	9	0.741	12.2	5.32e-08	3.71e-06
geneontology_Biological_Process	excitatory synapse assembly	23	6	0.218	27.5	5.95e-08	4.05e-06
geneontology_Biological_Process	regulation of synaptic vesicle exocytosis	79	9	0.75	12	5.96e-08	4.05e-06
geneontology_Biological_Process	cellular potassium ion transport	202	13	1.92	6.78	6.99e-08	4.7e-06
geneontology_Biological_Process	potassium ion transmembrane transport	202	13	1.92	6.78	6.99e-08	4.7e-06
geneontology_Biological_Process	ionotropic glutamate receptor signaling pathway	25	6	0.237	25.3	1.03e-07	6.81e-06
geneontology_Biological_Process	gamma-aminobutyric acid signaling pathway	25	6	0.237	25.3	1.03e-07	6.81e-06
geneontology_Biological_Process	regulation of postsynaptic specialization assembly	14	5	0.133	37.6	1.36e-07	8.91e-06
geneontology_Biological_Process	regulation of postsynapse assembly	14	5	0.133	37.6	1.36e-07	8.91e-06
geneontology_Biological_Process	dicarboxylic acid transport	87	9	0.826	10.9	1.39e-07	9.06e-06
geneontology_Biological_Process	regulation of synapse organization	215	13	2.04	6.37	1.45e-07	9.38e-06
geneontology_Biological_Process	regulation of postsynaptic membrane neurotransmitter receptor levels	65	8	0.617	13	1.8e-07	1.15e-05
geneontology_Biological_Process	regulation of synapse structure or activity	221	13	2.1	6.2	1.99e-07	1.27e-05
geneontology_Biological_Process	calcium ion regulated exocytosis	152	11	1.44	7.62	2.26e-07	1.42e-05
geneontology_Biological_Process	synaptic vesicle exocytosis	122	10	1.16	8.63	2.55e-07	1.59e-05
geneontology_Biological_Process	anion transmembrane transport	266	14	2.53	5.54	2.62e-07	1.63e-05
geneontology_Biological_Process	potassium ion transport	229	13	2.17	5.98	3e-07	1.82e-05
geneontology_Biological_Process	positive regulation of cell projection organization	365	16	3.47	4.62	4.27e-07	2.55e-05
geneontology_Biological_Process	protein localization to postsynaptic membrane	32	6	0.304	19.7	4.97e-07	2.94e-05
geneontology_Biological_Process	receptor localization to synapse	51	7	0.484	14.5	5.03e-07	2.96e-05
geneontology_Biological_Process	forebrain development	375	16	3.56	4.49	6.11e-07	3.58e-05
geneontology_Biological_Process	regulation of cell morphogenesis	473	18	4.49	4.01	6.27e-07	3.65e-05
geneontology_Biological_Process	regulation of synapse assembly	104	9	0.987	9.11	6.49e-07	3.74e-05
geneontology_Biological_Process	regulation of neurotransmitter secretion	104	9	0.987	9.11	6.49e-07	3.74e-05
geneontology_Biological_Process	associative learning	77	8	0.731	10.9	6.8e-07	3.9e-05
geneontology_Biological_Process	regulation of exocytosis	207	12	1.97	6.11	6.95e-07	3.97e-05
geneontology_Biological_Process	establishment of vesicle localization	289	14	2.74	5.1	7.11e-07	4.04e-05
geneontology_Biological_Process	receptor internalization	106	9	1.01	8.94	7.64e-07	4.25e-05
geneontology_Biological_Process	chloride transport	106	9	1.01	8.94	7.64e-07	4.25e-05
geneontology_Biological_Process	inorganic anion transmembrane transport	110	9	1.04	8.62	1.05e-06	5.8e-05
geneontology_Biological_Process	establishment of organelle localization	494	18	4.69	3.84	1.17e-06	6.44e-05
geneontology_Biological_Process	regulation of synaptic vesicle fusion to presynaptic active zone membrane	10	4	0.0949	42.1	1.58e-06	8.62e-05
geneontology_Biological_Process	chloride transmembrane transport	86	8	0.817	9.8	1.59e-06	8.67e-05
geneontology_Biological_Process	regulation of regulated secretory pathway	150	10	1.42	7.02	1.72e-06	9.25e-05
geneontology_Biological_Process	myelination	117	9	1.11	8.1	1.76e-06	9.37e-05
geneontology_Biological_Process	neuron migration	151	10	1.43	6.98	1.83e-06	9.64e-05
geneontology_Biological_Process	organic acid transport	313	14	2.97	4.71	1.83e-06	9.64e-05
geneontology_Biological_Process	carboxylic acid transport	313	14	2.97	4.71	1.83e-06	9.64e-05
geneontology_Biological_Process	ensheathment of neurons	119	9	1.13	7.97	2.02e-06	0.000106
geneontology_Biological_Process	axon ensheathment	119	9	1.13	7.97	2.02e-06	0.000106
geneontology_Biological_Process	synaptic vesicle fusion to presynaptic active zone membrane	23	5	0.218	22.9	2.14e-06	0.00011
geneontology_Biological_Process	developmental maturation	273	13	2.59	5.02	2.17e-06	0.000112
geneontology_Biological_Process	vesicle fusion to plasma membrane	24	5	0.228	21.9	2.68e-06	0.000136
geneontology_Biological_Process	protein transport within plasma membrane	24	5	0.228	21.9	2.68e-06	0.000136
geneontology_Biological_Process	neurotransmitter receptor transport	24	5	0.228	21.9	2.68e-06	0.000136
geneontology_Biological_Process	positive regulation of synapse assembly	66	7	0.627	11.2	3e-06	0.000152
geneontology_Biological_Process	presynapse organization	43	6	0.408	14.7	3.07e-06	0.000154
geneontology_Biological_Process	neuron projection extension	160	10	1.52	6.58	3.08e-06	0.000154
geneontology_Biological_Process	regulation of amine transport	94	8	0.892	8.96	3.14e-06	0.000156
geneontology_Biological_Process	regulation of synaptic transmission, glutamatergic	67	7	0.636	11	3.33e-06	0.000165
geneontology_Biological_Process	action potential	127	9	1.21	7.46	3.48e-06	0.000172
geneontology_Biological_Process	regulation of postsynaptic density assembly	12	4	0.114	35.1	3.67e-06	0.000178
geneontology_Biological_Process	regulation of neurological system process	128	9	1.22	7.41	3.71e-06	0.000179
geneontology_Biological_Process	neurotransmitter receptor internalization	26	5	0.247	20.3	4.08e-06	0.000196
geneontology_Biological_Process	response to ammonium ion	130	9	1.23	7.29	4.21e-06	0.000202
geneontology_Biological_Process	regulation of cell morphogenesis involved in differentiation	293	13	2.78	4.67	4.72e-06	0.000224
geneontology_Biological_Process	amine transport	101	8	0.959	8.34	5.38e-06	0.000252
geneontology_Biological_Process	startle response	28	5	0.266	18.8	6.01e-06	0.000278
geneontology_Biological_Process	sensory perception of pain	103	8	0.978	8.18	6.23e-06	0.000287
geneontology_Biological_Process	developmental cell growth	213	11	2.02	5.44	6.24e-06	0.000287
geneontology_Biological_Process	drug transport	216	11	2.05	5.36	7.13e-06	0.000327
geneontology_Biological_Process	regulation of presynapse assembly	29	5	0.275	18.2	7.2e-06	0.000328
geneontology_Biological_Process	regulation of excitatory synapse assembly	14	4	0.133	30.1	7.3e-06	0.00033
geneontology_Biological_Process	regulation of short-term neuronal synaptic plasticity	14	4	0.133	30.1	7.3e-06	0.00033
geneontology_Biological_Process	metencephalon development	107	8	1.02	7.87	8.27e-06	0.000373
geneontology_Biological_Process	regulation of vesicle fusion	30	5	0.285	17.6	8.58e-06	0.000384
geneontology_Biological_Process	regulation of presynapse organization	30	5	0.285	17.6	8.58e-06	0.000384
geneontology_Biological_Process	negative regulation of neuron apoptotic process	142	9	1.35	6.68	8.67e-06	0.000386
geneontology_Biological_Process	regulation of postsynaptic density organization	15	4	0.142	28.1	9.88e-06	0.000433
